date,tmax,tmin,prcp,snow
2015-08-02,48.02,44.78,0.0,0.0
2015-08-03,48.2,45.5,0.0,0.0
2015-08-04,48.02,44.42,0.43,0.0
2015-08-05,47.66,44.96,0.0,0.0
2015-08-06,46.94,44.06,0.0,0.0
2015-08-07,47.120000000000005,44.42,0.0,0.0
2015-08-08,46.76,44.239999999999995,0.0,0.0
2015-08-09,47.3,44.239999999999995,0.0,0.0
2015-08-10,47.120000000000005,44.6,0.0,0.0
2015-08-11,46.58,44.78,1.17,0.0
2015-08-12,47.3,44.78,0.0,0.0
2015-08-13,46.94,44.06,0.0,0.0
2015-08-14,47.84,44.06,0.0,0.0
2015-08-15,48.56,45.14,0.0,0.0
2015-08-16,48.74,45.68,0.0,0.0
2015-08-17,49.1,46.04,0.0,0.0
2015-08-18,48.2,45.14,0.29,0.0
2015-08-19,47.66,45.86,0.0,0.0
2015-08-20,47.48,45.86,0.01,0.0
2015-08-21,47.66,44.78,0.32,0.0
2015-08-22,47.48,44.42,0.0,0.0
2015-08-23,47.3,44.6,0.0,0.0
2015-08-24,47.66,45.14,0.0,0.0
2015-08-25,48.2,45.14,0.0,0.0
2015-08-26,47.3,44.06,0.0,0.0
2015-08-27,46.76,44.06,0.0,0.0
2015-08-28,46.76,43.34,0.0,0.0
2015-08-29,47.66,44.06,0.0,0.0
2015-08-30,48.2,44.96,0.13,0.0
2015-08-31,48.379999999999995,45.68,0.0,0.0
2015-09-01,48.2,45.68,0.0,0.0
2015-09-02,48.379999999999995,45.32,0.0,0.0
2015-09-03,48.74,45.32,0.0,0.0
2015-09-04,47.3,44.96,0.0,0.0
2015-09-05,46.94,44.06,0.0,0.0
2015-09-06,47.66,43.7,0.0,0.0
2015-09-07,48.56,44.6,0.0,0.0
2015-09-08,49.46,45.68,0.0,0.0
2015-09-09,48.2,45.68,0.0,0.0
2015-09-10,46.22,44.6,1.58,0.0
2015-09-11,46.58,43.879999999999995,0.0,0.0
2015-09-12,46.22,44.42,0.29,0.0
2015-09-13,46.4,43.16,0.04,0.0
2015-09-14,45.86,42.620000000000005,0.0,0.0
2015-09-15,47.120000000000005,43.16,0.0,0.0
2015-09-16,47.84,43.879999999999995,0.0,0.0
2015-09-17,48.02,44.239999999999995,0.0,0.0
2015-09-18,47.66,44.239999999999995,0.0,0.0
2015-09-19,46.94,44.239999999999995,0.0,0.0
2015-09-20,46.22,43.519999999999996,0.0,0.0
2015-09-21,45.14,42.620000000000005,0.0,0.0
2015-09-22,44.78,43.16,0.0,0.0
2015-09-23,46.4,42.620000000000005,0.0,0.0
2015-09-24,46.76,42.8,0.0,0.0
2015-09-25,45.68,43.34,0.0,0.0
2015-09-26,44.96,42.980000000000004,0.0,0.0
2015-09-27,44.78,42.08,0.0,0.0
2015-09-28,46.04,43.7,0.0,0.0
2015-09-29,46.94,44.96,0.11,0.0
2015-09-30,46.22,42.620000000000005,1.26,0.0
2015-10-01,43.519999999999996,42.08,0.09,0.0
2015-10-02,42.260000000000005,40.64,1.08,0.0
2015-10-03,41.9,40.82,0.35,0.0
2015-10-04,43.34,41.54,0.0,0.0
2015-10-05,44.06,41.36,0.0,0.0
2015-10-06,45.14,41.36,0.0,0.0
2015-10-07,45.14,42.44,0.0,0.0
2015-10-08,44.96,42.620000000000005,0.0,0.0
2015-10-09,46.04,42.980000000000004,0.89,0.0
2015-10-10,43.7,41.0,0.0,0.0
2015-10-11,44.42,41.54,0.0,0.0
2015-10-12,45.86,42.08,0.0,0.0
2015-10-13,44.96,42.980000000000004,0.01,0.0
2015-10-14,44.42,42.260000000000005,0.0,0.0
2015-10-15,43.519999999999996,41.18,0.0,0.0
2015-10-16,43.519999999999996,41.54,0.0,0.0
2015-10-17,42.08,39.56,0.0,0.0
2015-10-18,41.0,38.839999999999996,0.0,0.0
2015-10-19,41.54,38.3,0.0,0.0
2015-10-20,44.6,40.64,0.0,0.0
2015-10-21,45.68,42.260000000000005,0.0,0.0
2015-10-22,45.5,42.44,0.0,0.0
2015-10-23,43.7,40.1,0.0,0.0
2015-10-24,42.260000000000005,39.2,0.0,0.0
2015-10-25,44.239999999999995,40.64,0.05,0.0
2015-10-26,42.44,40.28,0.0,0.0
2015-10-27,42.620000000000005,40.1,0.0,0.0
2015-10-28,44.42,41.54,1.4,0.0
2015-10-29,45.14,42.260000000000005,0.04,0.0
2015-10-30,42.980000000000004,40.64,0.0,0.0
2015-10-31,42.08,39.56,0.0,0.0
2015-11-01,43.7,41.72,0.0,0.0
2015-11-02,43.34,41.72,0.0,0.0
2015-11-03,44.96,40.64,0.0,0.0
2015-11-04,44.6,42.08,0.0,0.0
2015-11-05,44.78,42.08,0.01,0.0
2015-11-06,45.32,43.879999999999995,0.0,0.0
2015-11-07,44.96,41.54,0.0,0.0
2015-11-08,42.08,40.28,0.0,0.0
2015-11-09,42.620000000000005,39.74,0.0,0.0
2015-11-10,42.260000000000005,41.18,0.26,0.0
2015-11-11,42.44,40.82,0.43,0.0
2015-11-12,42.980000000000004,41.18,0.01,0.0
2015-11-13,42.44,40.28,0.0,0.0
2015-11-14,40.82,39.56,0.0,0.0
2015-11-15,42.44,39.02,0.0,0.0
