date,carbon_monoxide,ozone,pm25
2015-07-30,0.368297,0.021261250000000002,
2015-07-31,0.2541665,0.025765,
2015-08-01,0.2395835,0.035591250000000005,9.3
2015-08-02,0.2125,0.034435,
2015-08-03,0.229167,0.0428595,
2015-08-04,0.222917,0.036554500000000004,9.625
2015-08-05,0.20625,0.0272285,
2015-08-06,0.127627,0.0264555,
2015-08-07,0.19375,0.0272835,5.85
2015-08-08,0.2104165,0.027478,
2015-08-09,0.2041665,0.027077999999999998,
2015-08-10,0.1958335,0.023754,5.025
2015-08-11,0.1875,0.02500125,
2015-08-12,0.12708350000000002,0.02340925,
2015-08-13,0.12083350000000001,0.023301,4.675
2015-08-14,0.2125,0.03796475,
2015-08-15,0.241667,0.048079,
2015-08-16,0.302083,0.041688,15.600000000000001
2015-08-17,0.31666649999999996,0.0419825,
2015-08-18,0.2333335,0.030299,
2015-08-19,0.280888,0.023432500000000002,5.45
2015-08-20,0.329167,0.0220795,
2015-08-21,0.33125,0.03635775,
2015-08-22,0.30625,0.03971475,6.275
2015-08-23,0.36875,0.02557775,
2015-08-24,0.38958349999999997,0.04460825,
2015-08-25,0.4291665,0.043874500000000004,12.95
2015-08-26,0.3086955,0.03153,
2015-08-27,0.3041665,0.021097,
2015-08-28,0.3020835,0.022893999999999998,4.375
2015-08-29,0.3770835,0.041381,
2015-08-30,0.439583,0.045655249999999994,
2015-08-31,0.44375,0.03875525,18.625
2015-09-01,0.4666665,0.03986925,
2015-09-02,0.514583,0.03522075,
2015-09-03,0.48750000000000004,0.0423605,27.225
2015-09-04,0.399638,0.029868,
2015-09-05,0.26249999999999996,0.0198355,
2015-09-06,0.30625,0.022902,5.6
2015-09-07,0.3375,0.034946500000000005,
2015-09-08,0.3854165,0.032183500000000004,
2015-09-09,0.354167,0.01671,6.875
2015-09-10,0.3875,0.01741825,
2015-09-11,0.2604165,0.02348575,
2015-09-12,0.3645835,0.0261615,5.65
2015-09-13,0.18333349999999998,0.023585750000000003,
2015-09-14,0.11458299999999999,0.019375,
2015-09-15,0.2104165,0.03182,8.275
2015-09-16,0.30625,0.036900249999999996,
2015-09-17,0.32083300000000003,0.050862000000000004,
2015-09-18,0.3482955,0.041888,15.325
2015-09-19,0.3958335,0.02864075,
2015-09-20,0.2375,0.02428375,
2015-09-21,0.25625,0.02590325,3.5
2015-09-22,0.2729165,0.0215215,
2015-09-23,0.3384965,0.022196,
2015-09-24,0.389583,0.031918,7.300000000000001
2015-09-25,0.34375,0.02245325,
2015-09-26,0.3125,0.025818,
2015-09-27,0.32499999999999996,0.02369425,5.025
2015-09-28,0.42291650000000003,0.01575025,
2015-09-29,0.475,0.016274999999999998,
2015-09-30,0.32708349999999997,0.0171615,3.4250000000000003
2015-10-01,0.21485500000000002,0.013132999999999999,
2015-10-02,0.20625,0.0123435,
2015-10-03,0.24375,0.010721999999999999,3.0
2015-10-04,0.220833,0.02275625,
2015-10-05,0.28125,0.01737075,
2015-10-06,0.3298915,0.01601725,5.466666666666666
2015-10-07,0.32499999999999996,0.0128965,
2015-10-08,0.4,0.01867025,
2015-10-09,0.3958335,0.021777,8.4
2015-10-10,0.2916665,0.01904875,
2015-10-11,0.4041665,0.020283,
2015-10-12,0.470833,0.02535675,10.025
2015-10-13,0.485417,0.018644,
2015-10-14,0.36666699999999997,0.01282825,
2015-10-15,0.3520835,0.014526250000000001,5.35
2015-10-16,0.301902,0.020018,
2015-10-17,0.1979165,0.01755725,
2015-10-18,0.2270835,0.01888875,3.1333333333333333
2015-10-19,0.3145835,0.015599749999999999,
2015-10-20,0.34375,0.014927000000000001,
2015-10-21,0.5291665,0.01295925,13.825
2015-10-22,0.48541650000000003,0.02002425,
2015-10-23,0.22499999999999998,0.0224935,
2015-10-24,0.302083,0.01494625,4.533333333333334
2015-10-25,0.28541700000000003,0.01923225,
2015-10-26,0.29583349999999997,0.0102025,
2015-10-27,0.42545299999999997,0.01254675,6.300000000000001
2015-10-28,0.3770835,0.0220475,
2015-10-29,0.33125,0.022935749999999998,
2015-10-30,0.26666650000000003,0.018078499999999997,4.1
2015-10-31,0.35625,0.01307,
2015-11-01,0.4,0.01520875,
2015-11-02,0.491667,0.00855725,9.075
2015-11-03,0.7229165,0.003084,
2015-11-04,0.6395835,0.01244675,
2015-11-05,0.7375,0.00285725,24.2
2015-11-06,0.468939,0.009126249999999999,
2015-11-07,0.30416699999999997,0.0186815,
2015-11-08,0.2833335,0.0181295,3.75
2015-11-09,0.5520835,0.00632425,
2015-11-10,0.5375,0.01426175,
2015-11-11,0.345833,0.0210795,4.025
2015-11-12,0.447917,0.0157365,
2015-11-13,0.30852250000000003,0.022768,
2015-11-14,0.3666665,0.021108000000000002,3.275
2015-11-15,0.4979165,0.01646625,
2015-11-16,0.50625,0.0210705,
2015-11-17,0.41041649999999996,0.01243325,6.625
2015-11-18,0.4729165,0.01839375,
2015-11-19,0.4055555,0.0248115,
2015-11-20,0.363068,0.019798,4.375
2015-11-21,0.42291650000000003,0.01998975,
2015-11-22,0.41041700000000003,0.020848,
2015-11-23,0.4791665,0.01980025,3.25
2015-11-24,0.65625,0.009267000000000001,
2015-11-25,0.6270834999999999,0.00774625,
2015-11-26,0.8687499999999999,0.00965075,13.0
2015-11-27,0.6675725,0.012754,
2015-11-28,0.5541665,0.00760775,
2015-11-29,0.4479165,0.01815025,6.075
2015-11-30,0.6333335,0.0121075,
2015-12-01,0.6458335,0.01132675,
2015-12-02,1.0875,0.001098,12.850000000000001
2015-12-03,0.41141300000000003,0.01755175,
2015-12-04,0.275,0.012821,
2015-12-05,0.372917,0.00571725,13.566666666666668
2015-12-06,0.597917,0.0034055,
2015-12-07,0.54375,0.004793749999999999,
2015-12-08,0.35624999999999996,0.008186500000000001,14.95
2015-12-09,0.6333329999999999,0.01384775,
2015-12-10,0.4769925,0.01055325,
2015-12-11,0.625,0.002528,23.625
2015-12-12,0.7104165,0.002,
2015-12-13,0.7416665,0.0068995,
2015-12-14,0.5479165,0.00814425,11.95
2015-12-15,0.30833350000000004,0.01772675,
2015-12-16,0.329167,0.0080865,
2015-12-17,0.5145835,0.006404,5.9
2015-12-18,0.35208300000000003,0.0138065,
2015-12-19,0.29072,0.022069,
2015-12-20,0.19166650000000002,0.01886475,6.125
2015-12-21,0.19166650000000002,0.0074565,
2015-12-22,0.15,0.00426625,
2015-12-23,0.29583349999999997,0.0009567499999999999,14.1
2015-12-24,0.0708335,0.006734749999999999,
2015-12-25,0.3375,0.0038624999999999996,
2015-12-26,0.0934785,0.020227250000000002,4.35
2015-12-27,0.3208335,0.00968525,
2015-12-28,0.30833299999999997,0.02156175,
2015-12-29,0.4875,0.01259125,6.375
2015-12-30,0.616667,0.0016372499999999998,
2015-12-31,0.46458299999999997,0.0137015,
2016-01-01,0.400625,0.02242075,3.325
2016-01-02,0.521875,0.0171715,
2016-01-03,0.520625,0.01584175,
2016-01-04,0.56375,0.02114025,4.125
2016-01-05,0.8354170000000001,0.01238425,
2016-01-06,1.0445834999999999,0.0024805,
2016-01-07,0.8337859999999999,0.001357,24.175
2016-01-08,0.38520849999999995,0.013766750000000001,
2016-01-09,0.2533335,0.0162035,
2016-01-10,0.131979,0.024528,3.875
2016-01-11,0.18435849999999998,0.02199575,
2016-01-12,0.4241665,0.014361249999999999,
2016-01-13,0.3627715,0.021626,7.275
2016-01-14,0.323714,0.00863,
2016-01-15,0.47291700000000003,0.00474475,
2016-01-16,0.083542,0.0196315,7.35
2016-01-17,-0.0064585,0.01883625,
2016-01-18,-0.065,0.02229125,
2016-01-19,-0.07604150000000001,0.024795,3.85
2016-01-20,-0.0089585,0.0204345,
2016-01-21,-0.0014585,0.0227755,
2016-01-22,0.047857,0.02359975,5.8
2016-01-23,0.1666665,0.026375,
2016-01-24,0.132917,0.019748,
2016-01-25,0.36875,0.00678825,15.024999999999999
2016-01-26,0.41875,0.00590025,
2016-01-27,0.27249999999999996,0.01148475,
